name	default	min	max	from.file	to.file	origin
$K_sat1	6.7851	5.42808	8.14212	soil_ZALF_Muncheberg_tocal.dai	input/soil_ZALF_Muncheberg_opt.dai	soil_ZALF_Muncheberg.dai
$Theta_res1	0.0521	0.04168	0.06252	soil_ZALF_Muncheberg_tocal.dai	input/soil_ZALF_Muncheberg_opt.dai	soil_ZALF_Muncheberg.dai
$Theta_sat1	0.401394	0.3211152	0.4816728	soil_ZALF_Muncheberg_tocal.dai	input/soil_ZALF_Muncheberg_opt.dai	soil_ZALF_Muncheberg.dai
$alpha1	0.0692039	0.05536312	0.08304468	soil_ZALF_Muncheberg_tocal.dai	input/soil_ZALF_Muncheberg_opt.dai	soil_ZALF_Muncheberg.dai
$l1	-0.949984	-1.1399808	-0.7599872	soil_ZALF_Muncheberg_tocal.dai	input/soil_ZALF_Muncheberg_opt.dai	soil_ZALF_Muncheberg.dai
$n1	1.41982	1.135856	1.703784	soil_ZALF_Muncheberg_tocal.dai	input/soil_ZALF_Muncheberg_opt.dai	soil_ZALF_Muncheberg.dai
$K_sat2	5.40229	4.321832	6.482748	soil_ZALF_Muncheberg_tocal.dai	input/soil_ZALF_Muncheberg_opt.dai	soil_ZALF_Muncheberg.dai
$Theta_res2	0.0574	0.04592	0.06888	soil_ZALF_Muncheberg_tocal.dai	input/soil_ZALF_Muncheberg_opt.dai	soil_ZALF_Muncheberg.dai
$Theta_sat2	0.367072	0.2936576	0.4404864	soil_ZALF_Muncheberg_tocal.dai	input/soil_ZALF_Muncheberg_opt.dai	soil_ZALF_Muncheberg.dai
$alpha2	0.0929404	0.07435232	0.11152848	soil_ZALF_Muncheberg_tocal.dai	input/soil_ZALF_Muncheberg_opt.dai	soil_ZALF_Muncheberg.dai
$l2	1.04687	0.837496	1.256244	soil_ZALF_Muncheberg_tocal.dai	input/soil_ZALF_Muncheberg_opt.dai	soil_ZALF_Muncheberg.dai
$n2	1.68789	1.350312	2.025468	soil_ZALF_Muncheberg_tocal.dai	input/soil_ZALF_Muncheberg_opt.dai	soil_ZALF_Muncheberg.dai
$K_sat3	1.16792	0.934336	1.401504	soil_ZALF_Muncheberg_tocal.dai	input/soil_ZALF_Muncheberg_opt.dai	soil_ZALF_Muncheberg.dai
$Theta_res3	0.0515	0.0412	0.0618	soil_ZALF_Muncheberg_tocal.dai	input/soil_ZALF_Muncheberg_opt.dai	soil_ZALF_Muncheberg.dai
$Theta_sat3	0.378087	0.3024696	0.4537044	soil_ZALF_Muncheberg_tocal.dai	input/soil_ZALF_Muncheberg_opt.dai	soil_ZALF_Muncheberg.dai
$alpha3	0.0915826	0.07326608	0.10989912	soil_ZALF_Muncheberg_tocal.dai	input/soil_ZALF_Muncheberg_opt.dai	soil_ZALF_Muncheberg.dai
$l3	-0.115207	-0.1382484	-0.0921656	soil_ZALF_Muncheberg_tocal.dai	input/soil_ZALF_Muncheberg_opt.dai	soil_ZALF_Muncheberg.dai
