obj;PeCr;sigma;mu.star;r.tH
swct25;Morris.nMAE;0.1;0.1;0.141421356
swct60;Morris.nMAE;0.1;0.1;0.141421356
swct90;Morris.nMAE;0.1;0.1;0.141421356
swct110;Morris.nMAE;0.1;0.1;0.141421356
swct190;Morris.nMAE;0.1;0.1;0.141421356
swct210;Morris.nMAE;0.1;0.1;0.141421356
SC1.N;Morris.nMAE;0.1;0.1;0.141421356
SC2.N;Morris.nMAE;0.1;0.1;0.141421356
HV.y;Morris.nMAE;0.1;0.1;0.141421356
HV.N;Morris.nMAE;0.1;0.1;0.141421356
DS;Morris.nMAE;0.1;0.1;0.141421356
swct25;Morris.mNSE;0.2;0.2;0.282842712
swct60;Morris.mNSE;0.2;0.2;0.282842712
swct90;Morris.mNSE;0.2;0.2;0.282842712
swct110;Morris.mNSE;0.2;0.2;0.282842712
swct190;Morris.mNSE;0.2;0.2;0.282842712
swct210;Morris.mNSE;0.2;0.2;0.282842712
SC1.N;Morris.mNSE;0.2;0.2;0.282842712
SC2.N;Morris.mNSE;0.2;0.2;0.282842712
HV.y;Morris.mNSE;0.2;0.2;0.282842712
HV.N;Morris.mNSE;0.2;0.2;0.282842712
DS;Morris.mNSE;0.2;0.2;0.282842712
swct25;Morris.md;0.2;0.2;0.282842712
swct60;Morris.md;0.2;0.2;0.282842712
swct90;Morris.md;0.2;0.2;0.282842712
swct110;Morris.md;0.2;0.2;0.282842712
swct190;Morris.md;0.2;0.2;0.282842712
swct210;Morris.md;0.2;0.2;0.282842712
SC1.N;Morris.md;0.2;0.2;0.282842712
SC2.N;Morris.md;0.2;0.2;0.282842712
HV.y;Morris.md;0.2;0.2;0.282842712
HV.N;Morris.md;0.2;0.2;0.282842712
DS;Morris.md;0.2;0.2;0.282842712
swct25;Morris.NRMSE;10;10;14.14213562
swct60;Morris.NRMSE;10;10;14.14213562
swct90;Morris.NRMSE;10;10;14.14213562
swct110;Morris.NRMSE;10;10;14.14213562
swct190;Morris.NRMSE;10;10;14.14213562
swct210;Morris.NRMSE;10;10;14.14213562
SC1.N;Morris.NRMSE;10;10;14.14213562
SC2.N;Morris.NRMSE;10;10;14.14213562
HV.y;Morris.NRMSE;10;10;14.14213562
HV.N;Morris.NRMSE;10;10;14.14213562
DS;Morris.NRMSE;10;10;14.14213562
swct25;Morris.VE;0.1;0.1;0.141421356
swct60;Morris.VE;0.1;0.1;0.141421356
swct90;Morris.VE;0.1;0.1;0.141421356
swct110;Morris.VE;0.1;0.1;0.141421356
swct190;Morris.VE;0.1;0.1;0.141421356
swct210;Morris.VE;0.1;0.1;0.141421356
SC1.N;Morris.VE;0.1;0.1;0.141421356
SC2.N;Morris.VE;0.1;0.1;0.141421356
HV.y;Morris.VE;0.1;0.1;0.141421356
HV.N;Morris.VE;0.1;0.1;0.141421356
DS;Morris.VE;0.1;0.1;0.141421356
swct25;Morris.PBIAS;10;10;14.14213562
swct60;Morris.PBIAS;10;10;14.14213562
swct90;Morris.PBIAS;10;10;14.14213562
swct110;Morris.PBIAS;10;10;14.14213562
swct190;Morris.PBIAS;10;10;14.14213562
swct210;Morris.PBIAS;10;10;14.14213562
SC1.N;Morris.PBIAS;10;10;14.14213562
SC2.N;Morris.PBIAS;10;10;14.14213562
HV.y;Morris.PBIAS;10;10;14.14213562
HV.N;Morris.PBIAS;10;10;14.14213562
DS;Morris.PBIAS;10;10;14.14213562
